Year,Age,Count
2017,45 - 50,2932
2017,5 - 10,70
2017,50 - 55,4621
2017,55 - 60,6756
2017,60 - 65,8928
2017,65 - 70,10942
2017,70 - 75,11166
2017,75 - 80,9589
2017,80 - 85,8762
2017,> 85,8190
2018,0 - 5,119
2018,10 - 15,108
2018,15 - 20,135
2018,20 - 25,247
2018,25 - 30,440
2018,30 - 35,708
2018,35 - 40,1115
2018,40 - 45,1719
2018,45 - 50,2824
2018,5 - 10,68
2018,50 - 55,4616
2018,55 - 60,6680
2018,60 - 65,9131
2018,65 - 70,11176
2018,70 - 75,11838
2018,75 - 80,9991
2018,80 - 85,9281
2018,> 85,8718
2019,0 - 5,124
2019,10 - 15,77
2019,15 - 20,149
2019,20 - 25,250
2019,25 - 30,464
2019,30 - 35,708
2019,35 - 40,1155
2019,40 - 45,1736
2019,45 - 50,2858
2019,5 - 10,67
2019,50 - 55,4633
2019,55 - 60,6597
2019,60 - 65,9300
2019,65 - 70,11387
2019,70 - 75,12298
2019,75 - 80,10104
2019,80 - 85,9584
2019,> 85,9033
2020,0 - 5,120
2020,10 - 15,82
2020,15 - 20,135
2020,20 - 25,241
2020,25 - 30,449
2020,30 - 35,731
2020,35 - 40,1120
2020,40 - 45,1692
2020,45 - 50,2752
2020,5 - 10,68
2020,50 - 55,4277
2020,55 - 60,6412
2020,60 - 65,8753
2020,65 - 70,10928
2020,70 - 75,12289
2020,75 - 80,10090
2020,80 - 85,9051
2020,> 85,8637
